,vec0,vec1,vec2,vec3,vec4,vec5,vec6,vec7,vec8,vec9,vec10,vec11,vec12,vec13,vec14,vec15,vec16,vec17,vec18,vec19
57,-0.396569,-0.176971,-0.127587,-0.287308,0.155428,0.097073,0.119598,-0.218547,-0.004568,0.470914,0.409961,-0.311750,0.006992,-0.172750,-0.228245,0.153449,0.390080,0.143168,0.092677,0.179819
58,-0.445097,-0.059157,0.039560,-0.405878,0.252722,0.073770,0.054060,-0.196149,0.149073,0.530611,0.644176,-0.338371,-0.106166,-0.134839,-0.206231,0.138057,0.498918,0.385252,0.099894,0.067539
59,-0.472812,-0.090944,0.010285,-0.460383,0.290330,0.061585,0.074907,-0.165620,0.154151,0.497727,0.696982,-0.326273,-0.099830,-0.154731,-0.246194,0.154221,0.542214,0.367652,0.077349,0.052624
60,-0.412497,-0.226038,-0.120636,0.206291,0.270515,0.206990,0.054712,-0.567652,0.289862,0.679100,0.326739,-0.311069,0.132572,0.039400,-0.063582,0.107943,0.370068,0.320674,-0.094620,0.166124
61,-0.348710,0.043855,0.121086,-0.330252,0.325874,0.024456,0.048358,-0.167832,0.215547,0.613023,0.608051,-0.422061,-0.002576,-0.028149,-0.052051,0.097452,0.318927,0.484492,0.038370,0.118801
62,-0.319710,-0.077598,0.399269,-0.302172,0.309816,0.094389,0.043180,-0.410240,0.418082,0.658903,0.537778,-0.493167,0.213305,0.489011,0.181612,0.155527,0.428222,0.613739,-0.248317,0.094020
63,-0.465779,0.002489,0.274824,-0.037147,0.319140,0.228494,-0.054501,-0.465310,0.410903,0.866241,0.675685,-0.454940,-0.133240,0.161071,-0.018148,-0.084482,0.387244,0.460782,-0.143817,0.004802
64,-0.371851,0.061843,0.377186,-0.202121,0.394544,0.118433,0.035910,-0.264137,0.492821,0.765421,0.586972,-0.275755,0.003802,0.142611,0.074660,-0.041929,0.227497,0.599611,0.098668,0.055756
65,-0.283302,-0.001142,0.529923,-0.323023,0.287442,0.073805,0.026814,-0.173624,0.503398,0.645460,0.555763,-0.270464,-0.132741,0.192074,0.129122,-0.065382,0.061974,0.499894,0.057248,0.062237
66,-0.274050,0.024440,0.276501,-0.327981,0.343195,0.005119,0.023052,-0.158193,0.229910,0.542401,0.632301,-0.315225,-0.096631,-0.011317,-0.126087,0.075102,0.243309,0.466264,0.064570,0.058912
67,-0.394501,0.162323,0.127668,-0.554340,-0.102006,-0.182888,-0.050594,0.011777,-0.191771,0.212675,0.767839,-0.553540,-0.048751,0.023476,-0.053341,0.136484,0.233556,0.620711,-0.275112,0.096186
68,-0.278268,0.044497,0.269591,-0.265329,0.272561,0.051082,0.059232,-0.158020,0.312021,0.557169,0.483445,-0.326401,-0.004820,0.114547,0.003555,0.014581,0.210210,0.411832,0.079031,0.026051
69,-0.390154,0.234934,0.174960,-0.562694,-0.187237,-0.195583,0.015349,0.051995,-0.367487,0.292577,0.930386,-0.383301,-0.139352,-0.311357,-0.163677,0.184120,0.226147,0.606335,-0.305673,0.125352
70,-0.399139,0.066597,0.350168,-0.559024,-0.042506,-0.079943,0.211026,-0.052856,-0.376889,0.682951,0.766854,-0.418870,-0.185725,-0.644346,-0.268572,0.042067,0.419090,0.316293,0.177672,0.131058
71,-0.386588,0.072716,0.426543,-0.444474,0.017285,-0.044696,0.232088,-0.136933,-0.332279,0.782448,0.843744,-0.459844,-0.187708,-0.620809,-0.250399,0.014712,0.444424,0.403624,0.148589,0.160421
72,-0.479122,0.211406,0.194576,-0.517532,-0.129030,-0.186092,-0.045877,-0.070846,-0.348159,0.394363,1.047389,-0.452402,-0.098364,-0.270175,-0.162691,0.128788,0.211809,0.709901,-0.404691,0.160622
73,-0.179544,0.082409,0.230421,-0.196169,0.079635,-0.000388,-0.028437,-0.132570,0.028812,0.371686,0.545142,-0.220134,-0.124232,-0.112048,-0.083237,-0.024299,0.101523,0.320107,-0.144948,0.062227
74,-0.454964,0.012044,0.152222,-0.034699,0.322124,0.167192,-0.023888,-0.474355,0.316301,0.577607,0.504247,-0.312159,-0.049448,0.062706,-0.047941,0.044840,0.428016,0.604917,-0.164938,0.034655
75,-0.378121,-0.003124,0.261405,-0.104814,0.379120,0.220691,-0.021175,-0.284660,0.376159,0.659165,0.471563,-0.365264,0.018424,0.071638,-0.005830,0.000579,0.338801,0.488554,-0.080062,0.053854
76,-0.363591,0.093094,0.249369,-0.064722,0.591790,0.125354,-0.022730,-0.102133,0.432797,0.460785,0.378387,-0.110832,-0.189239,-0.019127,0.039999,0.067336,0.206690,0.782253,-0.069549,0.018646
77,-0.486822,-0.076923,0.061618,0.265362,0.465302,0.112835,-0.046909,-0.440817,0.502733,0.545181,0.321471,-0.162329,0.110952,0.100517,0.042978,0.193431,0.337733,0.623279,-0.197648,-0.013445
78,-0.403078,0.243126,0.157611,-0.374776,0.221451,0.048278,-0.017137,-0.064355,0.112573,0.354422,0.669054,-0.472791,-0.153506,0.024704,-0.113451,-0.129304,0.349484,0.372542,0.197989,-0.084172
79,-0.438046,-0.008479,0.150691,0.038879,0.409966,0.193062,-0.052446,-0.478596,0.446827,0.738657,0.575200,-0.318442,0.027827,0.113120,0.006652,0.006453,0.377868,0.581821,-0.183809,0.111924
80,-0.235557,0.051112,0.149106,0.007257,0.375823,0.149565,-0.021134,-0.378209,0.329047,0.474208,0.426733,-0.228620,0.051643,0.120409,-0.076662,-0.157630,0.207494,0.389545,-0.132568,-0.026032
81,-0.267572,-0.007808,0.111240,0.006364,0.276565,0.156588,-0.048467,-0.280736,0.291436,0.479799,0.317254,-0.207701,0.017350,0.055396,0.036875,0.007935,0.206037,0.320983,-0.079372,0.068896
82,-0.121908,-0.035749,0.128463,-0.028295,0.143341,0.139154,-0.075885,-0.177062,0.270084,0.379253,0.353936,-0.188249,0.049881,0.116051,-0.016222,0.026083,0.160747,0.304833,-0.105651,0.083275
83,-0.207169,0.044572,0.201187,-0.103202,0.140945,0.083849,-0.035079,-0.232351,0.108087,0.370652,0.509732,-0.226535,-0.053165,-0.071308,-0.065500,0.002800,0.164777,0.369844,-0.154285,0.057302
84,-0.325268,-0.054761,0.231068,-0.183369,0.258497,0.200857,0.025843,-0.226783,0.259828,0.555271,0.407977,-0.378125,0.017559,0.091509,0.022359,0.018995,0.336367,0.422915,-0.120502,0.032074
85,-0.333677,-0.003325,0.116376,-0.353429,0.149105,-0.004795,0.057468,-0.144516,0.051792,0.398072,0.506234,-0.385348,-0.076771,-0.027834,-0.118821,0.072663,0.298492,0.379250,-0.011366,0.056474
86,-0.155844,0.020965,0.191393,-0.380804,0.038139,-0.026621,0.109953,0.022444,0.046686,0.235817,0.379921,-0.266774,-0.191957,0.017565,-0.096615,0.061424,0.119255,0.217582,0.011019,0.055816
87,-0.438805,0.145915,0.253751,0.020582,0.412138,0.227445,-0.126960,-0.382704,0.428514,0.605140,0.584431,-0.293714,-0.049108,0.102334,-0.001655,-0.179793,0.305603,0.522126,0.098386,-0.071997
